Event,Round,White,Black,Result,WhiteElo,WhiteTitle,WhiteFideId,BlackElo,BlackTitle,BlackFideId,Variant,ECO,Opening,Move Number,Move,Color,Evaluation,Time
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,1,d4,White,0.17,1:30:49
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,1,Nf6,Black,0.19,1:30:33
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,2,c4,White,0.18,1:31:09
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,2,e6,Black,0.14,1:30:48
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,3,Nf3,White,0.12,1:31:31
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,3,d5,Black,0.17,1:31:06
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,4,cxd5,White,0.0,1:30:17
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,4,exd5,Black,0.0,1:31:28
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,5,Nc3,White,0.03,1:30:40
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,5,c6,Black,0.02,1:31:36
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,6,Bf4,White,0.0,1:31:06
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,6,Be7,Black,0.06,1:31:05
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,7,e3,White,-0.01,1:27:30
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,7,O-O,Black,0.3,1:27:46
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,8,Qc2,White,0.37,1:21:44
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,8,Nh5,Black,0.36,1:19:01
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,9,Be5,White,-0.03,1:18:32
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,9,f6,Black,0.29,1:15:56
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,10,Bg3,White,0.32,1:16:58
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,10,g6,Black,0.27,1:15:30
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,11,Bd3,White,0.21,1:15:22
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,11,Be6,Black,0.25,1:12:36
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,12,Ne2,White,0.12,1:03:59
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,12,Bd6,Black,0.74,1:04:34
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,13,Bxd6,White,0.54,0:58:41
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,13,Qxd6,Black,0.51,1:04:56
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,14,Ng3,White,0.4,0:58:50
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,14,Qb4+,Black,0.41,0:48:11
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,15,Qd2,White,0.22,0:54:10
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,15,Qxd2+,Black,0.15,0:48:22
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,16,Kxd2,White,0.18,0:54:30
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,16,Nxg3,Black,0.18,0:48:28
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,17,hxg3,White,0.14,0:54:53
"Round 1: Malka, Samuel - Hernandez, Cristian Andres",1.1,"Malka, Samuel","Hernandez, Cristian Andres",0-1,2211,FM,20643675,2350,IM,4402308,Standard,E10,Indian Defense: Anti-Nimzo-Indian,17,Kg7,Black,0.14,0:48:39
